"t","x","y","dt","type"
2382.344,1848,993,0.159000000000106,0
2382.743,1841,1005,0.119999999999891,0
2383.103,1812,1008,0.0799999999999272,0
2383.583,1712,1072,0.0799999999999272,0
2383.983,1786,1025,0.139999999999873,0
2384.242,1861,980,0.0999999999999091,0
2384.362,1855,988,0.159999999999854,0
2385.362,1736,1060,0.340000000000146,0
2385.722,1827,1062,0.0989999999997053,0
2385.861,1815,1049,0.440000000000055,0
2410.367,1410,1335,0.139999999999873,0
2410.547,1424,1357,0.179999999999836,0
2410.767,1658,1407,0.499000000000251,0
2411.286,1546,1372,0.920000000000073,0
2412.286,1461,1457,1.05899999999974,0
2413.365,1246,1451,0.300000000000182,0
2413.905,1373,1451,0.199999999999818,0
2414.125,1393,1460,0.478999999999814,0
2414.624,1291,1376,1.63900000000012,0
2416.283,1298,1399,0.440000000000055,0
2416.783,1418,1491,1.53900000000021,0
2418.442,1230,1413,1.4989999999998,0
2419.981,1464,1404,0.679999999999836,0
2420.681,1509,1463,0.0799999999999272,0
2420.781,1546,1546,0.0799999999999272,0
2421.5,1528,1499,0.119999999999891,0
2421.64,1090,1376,0.120000000000346,0
2421.98,1507,1585,1.35899999999992,0
2423.479,1474,1568,0.7800000000002,0
2424.299,1333,1499,1.95899999999983,0
2426.278,656,1103,0.278999999999996,2
2426.577,646,1108,0.819999999999709,2
2427.417,1414,1615,0.139999999999873,0
2427.577,646,1110,0.159999999999854,2
2427.757,651,1115,0.878999999999905,2
2428.716,1174,1423,1.03999999999996,0
2429.955,645,1112,0.0999999999999091,2
2430.135,645,1112,0.119999999999891,2
2430.275,1436,1586,0.159999999999854,0
2430.515,1320,1494,0.160000000000309,0
2430.695,1432,1551,0.139999999999873,0
2430.895,1342,1426,0.119999999999891,0
2431.115,1502,1651,2.35800000000017,0
2433.713,729,1096,0.0799999999999272,2
2433.853,1164,1441,0.0799999999999272,0
2433.953,1025,1336,2.89800000000014,0
2436.871,1471,1584,0.460000000000036,0
2437.351,628,1129,0.639999999999873,2
2438.091,1387,1546,0.219000000000051,0
2438.35,1329,1497,0.559999999999945,0
2438.95,530,1067,0.120000000000346,2
2439.19,936,1295,0.480000000000018,0
2439.909,1511,1616,0.179999999999836,0
2440.129,1449,1579,0.119999999999891,0
2440.409,540,1088,0.159999999999854,2
2440.669,1447,1545,0.120000000000346,0
